Stofnaam	CAS-nummer	EG-nummer	Aquo-code	SIKB-id	Categorie	Compartiment	Norm	Waarde	Eenheid	Normwaardestatus.code	Normwaardestatus.omschrijving	Achtergrondconcentratie.code	Achtergrondconcentratie.omschrijving	Toelichtende voetnoot 1	Toelichtende voetnoot 2	Toelichtende voetnoot 3	Toelichtende voetnoot 4	Norm.code	Norm.omschrijving	Normsubgroup.code	Normsubgroup.omschrijving	Compartiment.code	Compartiment.omschrijving	Compartimentsubgroep.code	Compartimentsubgroep.omschrijving	Grootheid.code	Grootheid.omschrijving	Hoedanigheid.code	Hoedanigheid.omschrijving	Waardebewerkingsmethode.code 	Waardebewerkingsmethode.omschrijving	Geldigheid.begindatum	Geldigheid.einddatum	
epichloorhydrine	106-89-8	203-439-8	epClhdne	710	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	0,32		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
epichloorhydrine	106-89-8	203-439-8	epClhdne	710	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren JG-MKN (totaal)	0,65	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
epichloorhydrine	106-89-8	203-439-8	epClhdne	710	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MAC-MKN (totaal)	6,5	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Deze stof was op genomen in de bijlage bij de Regeling monitoring kaderrichtlijn water van 14 april 2010, maar is niet meer opgenomen in de huidige regeling. Dit komt omdat geconstateerd dat deze stof niet meer relevant is voor het monitoren van de waterkwaliteit omdat deze stof al verschillende jaren niet of nauwelijks is aangetroffen en/of de concentraties ruimschoots lager zijn dan de in de vorige regeling gehanteerde normen.				MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
epichloorhydrine-dimethylamine-copolymeer	25988-97-0		epClhdnDC1yA	3715	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	0,05	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
epoxiconazool	133855-98-8	406-850-2	epxcnzl	3718	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren JG-MKN (opgelost)	0,19	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Vastgesteld door Ctgb				JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	JGM	Jaargemiddelde			
epoxiconazool	133855-98-8	406-850-2	epxcnzl	3718	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren MAC-MKN (opgelost)	1,8	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie	Vastgesteld door Ctgb				MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	MAX	Maximum			
esfenvaleraat	66230-04-4		esfvlrt	3723	Milieu	Oppervlaktewater zoet	log Kp l/kg (zwevend stof)	4,87		BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					Kp	log Kp	NVT	Niet van toepassing	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	NVT	Niet van toepassing	NVT	Niet van toepassing	NVT	Niet van toepassing			
esfenvaleraat	66230-04-4		esfvlrt	3723	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren wettelijk JG-MKN (totaal)	0,00019	µg/l	NR	Uit regelgeving	INCLAC	Inclusief achtergrondconcentratie					JG-MKN	Jaargemiddelde milieukwaliteitsnorm	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	JGM	Jaargemiddelde			
esfenvaleraat	66230-04-4		esfvlrt	3723	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren wettelijk MAC-MKN (totaal)	0,0017	µg/l	NR	Uit regelgeving	INCLAC	Inclusief achtergrondconcentratie					MAC	Maximaal aanvaardbare concentratie	GED	Gedegen norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	NVT	Niet van toepassing	MAX	Maximum			
estron	53-16-7	200-164-5	oestn	2313	Milieu	Oppervlaktewater zoet	Landoppervlaktewateren Indicatief MTR (opgelost)	3,22E-01	µg/l	BV	Beleidsmatig vastgesteld	INCLAC	Inclusief achtergrondconcentratie					MTR	Maximaal toelaatbaar risiconiveau	IND	Indicatieve norm	OW	Oppervlaktewater	ZOET	Landoppervlaktewateren	CONCTTE	(massa)Concentratie	nf	na filtratie (opgeloste fractie)	P90	90-Percentiel			
